rarity;index;error
1;99.6345;1.13687e-12
1;12852.8;3.97904e-13
1;25606.1;1.25056e-12
1;38359.3;5.11591e-13
1;0;3.41061e-13
2;99.6345;1.20944e+72
2;12852.8;1.86784e+12
2;25606.1;0.508131
2;38359.3;1.36991e+13
2;0;3.41061e-13
10;99.6345;1.01167e+11
10;12852.8;1.67448
10;25606.1;0.101086
10;38359.3;23.0841
10;0;5.68434e-14
20;99.6345;60005.9
20;12852.8;3.64146
20;25606.1;0.303693
20;38359.3;4.2987
20;0;5.68434e-14
50;99.6345;0.383053
50;12852.8;2.35119
50;25606.1;0.0278029
50;38359.3;2.17602
50;0;0
